year,slope_year,combined_se,lower_95,upper_95,biome_name,agent
1987,68.12166100395302,4.386923458229259,59.523291025823674,76.72003098208236,Boreal,Natural
1988,68.16688366323794,4.220976762955194,59.89376920784576,76.43999811863011,Boreal,Natural
1989,62.35740354898115,4.430494292857393,53.67363473498065,71.04117236298164,Boreal,Natural
1990,54.65311271935782,5.2045321913667735,44.45222962427894,64.8539958144367,Boreal,Natural
1991,64.8985152116744,5.263547220102723,54.58196266027306,75.21506776307572,Boreal,Natural
1992,58.3321385363918,5.273341582967211,47.99638903377607,68.66788803900754,Boreal,Natural
1993,23.61406807288146,4.088060252641669,15.601469977703788,31.62666616805913,Boreal,Natural
1994,69.58087860261836,4.269068896274231,61.21350356592086,77.94825363931585,Boreal,Natural
1995,76.01045389425069,4.252667580367273,67.67522543673083,84.34568235177055,Boreal,Natural
1996,83.7535476405597,4.235988646394905,75.4510098936257,92.05608538749371,Boreal,Natural
1997,75.58354159330479,4.39921801445445,66.96107428497406,84.20600890163551,Boreal,Natural
1998,42.234852743936656,4.764841150803706,32.89576408836139,51.573941399511924,Boreal,Natural
1999,77.1708300551978,4.584010023460898,68.18617040921444,86.15548970118115,Boreal,Natural
2000,85.84319029971931,5.172650485813157,75.70479534752552,95.9815852519131,Boreal,Natural
2001,47.880929017217355,4.372677204534846,39.310481696329056,56.45137633810565,Boreal,Natural
2002,67.48398413371453,4.612624522558446,58.44324006949998,76.52472819792908,Boreal,Natural
2003,75.21273404529711,4.522554630584708,66.34852696935108,84.07694112124314,Boreal,Natural
2004,79.75163091650774,4.429748455886323,71.06932394297054,88.43393789004493,Boreal,Natural
2005,51.62431810618452,4.795860511612011,42.22443150342498,61.024204708944055,Boreal,Natural
2006,65.48516497792701,5.412784489142507,54.876107379207696,76.09422257664633,Boreal,Natural
2007,34.871208329278204,5.222191346705749,24.635713289734937,45.10670336882147,Boreal,Natural
2008,56.464243847016704,6.830958577034935,43.07556503602823,69.85292265800518,Boreal,Natural
2009,48.19514768672178,4.7208261783026515,38.942328377248586,57.44796699619498,Boreal,Natural
2010,57.9631819678384,5.036688668448151,48.091272177680025,67.83509175799678,Boreal,Natural
2011,73.62075806191972,4.194882047416486,65.3987892489834,81.84272687485603,Boreal,Natural
2012,50.322725161823556,5.886882498504384,38.784435464754964,61.86101485889215,Boreal,Natural
2013,35.85507082030354,4.89374710375881,26.263326496936273,45.446815143670804,Boreal,Natural
2014,83.00656541060414,5.02409469144278,73.15933981537628,92.853791005832,Boreal,Natural
2015,85.57365284774012,6.028465726626854,73.75786002355149,97.38944567192875,Boreal,Natural
2016,63.85600106047021,5.3108940735916335,53.44664867623061,74.26535344470982,Boreal,Natural
2017,53.3266023758271,4.279284322612127,44.939205103507334,61.71399964814687,Boreal,Natural
2019,69.2729367239545,5.246448915364277,58.98989684984052,79.55597659806848,Boreal,Natural
2020,52.55669895754946,4.828899567894042,43.092055804477134,62.02134211062178,Boreal,Natural
2021,71.90136525099166,8.639803355014193,54.96735067516384,88.83537982681948,Boreal,Natural
2022,67.04922471059308,4.313542589599463,58.59468123497813,75.50376818620802,Boreal,Natural
1985,72.9492338656895,4.0543674875179185,65.00267359015437,80.89579414122461,Temperate,Natural
1986,64.7159533517472,4.009765263674718,56.856813434944755,72.57509326854965,Temperate,Natural
1987,75.94105523757075,4.06170462683491,67.98011416897432,83.90199630616718,Temperate,Natural
1988,76.48208394980016,4.013533062170649,68.61555914794569,84.34860875165462,Temperate,Natural
1989,65.2465101953926,3.99915388875209,57.40816857343851,73.0848518173467,Temperate,Natural
1990,83.16399494107128,3.9862778828060765,75.35089029077137,90.97709959137119,Temperate,Natural
1991,81.04298305142993,4.072125219986205,73.06161762025697,89.02434848260289,Temperate,Natural
1992,75.12656797632857,4.0301241478649334,67.2275246465133,83.02561130614384,Temperate,Natural
1993,66.14289717826811,4.014895429963958,58.273702135538755,74.01209222099747,Temperate,Natural
1994,81.83504894015962,4.034452439714738,73.92752215831874,89.74257572200051,Temperate,Natural
1995,65.51639495985971,4.0698426944511805,57.539503278735395,73.49328664098402,Temperate,Natural
1996,60.27818123862895,4.001167766710054,52.43589241587725,68.12047006138066,Temperate,Natural
1997,65.66826259638293,4.016328216797014,57.796259291460785,73.54026590130508,Temperate,Natural
1998,92.02980798223493,4.073964972015075,84.04483663708538,100.01477932738447,Temperate,Natural
1999,74.49188444524445,4.0758731474955825,66.5031730761531,82.4805958143358,Temperate,Natural
2000,60.293639033775406,3.9736318712191543,52.505320566185866,68.08195750136495,Temperate,Natural
2001,62.177812194382014,4.093808356956062,54.153947814748136,70.20167657401589,Temperate,Natural
2002,62.90844560618507,4.055748592754331,54.95917836438658,70.85771284798356,Temperate,Natural
2003,72.17956714570673,4.023483054412828,64.29354035905759,80.06559393235587,Temperate,Natural
2004,72.78101454560033,4.064602519974081,64.81439360645113,80.74763548474952,Temperate,Natural
2005,67.86969106650946,3.9903805990741548,60.04854509232412,75.6908370406948,Temperate,Natural
2006,59.91708892735942,4.010574362644754,52.0563631765757,67.77781467814314,Temperate,Natural
2007,81.39287310465329,3.988524147784023,73.57536577499661,89.21038043430997,Temperate,Natural
2008,62.883155605845054,4.0706899912396635,54.904603223015314,70.8617079886748,Temperate,Natural
2009,42.188017730027724,3.9910519082580365,34.36555598984197,50.010479470213475,Temperate,Natural
2010,84.5977490272387,4.077085392365847,76.60666165820165,92.58883639627577,Temperate,Natural
2011,69.64669754155257,4.023543053663514,61.76055315637208,77.53284192673306,Temperate,Natural
2012,50.01282157463631,4.053291450432212,42.068370331789176,57.95727281748345,Temperate,Natural
2013,50.165230612434875,4.030716672111774,42.2650259350958,58.06543528977395,Temperate,Natural
